id,name,brand,retail_price,cost,category_id,distribution_center_id
18768,ASICS Men's ASX Boxer,ASICS,25,11.18,4,1
26305,C-IN2 Men's Grip Army Trunk,C-IN2,30,14.25,23,1
17004,Gildan Adult Softstyle T-Shirt. 64000,Gildan,7.56,4.48,13,1
19173,Hurley Men's One and Only Sweater,Hurley,55,26.35,14,1
15814,Lamaze Maternity Nursing Camisole,Lamaze,25,12.05,2,1
13842,Low Profile Dyed Cotton Twill Cap - Navy W39S55D,MG,6.25,2.52,1,1
21199,Earnest Sewn Men's Hutch,Earnest Sewn,198,102.56,16,1
27529,TYR Sport Men's Poly Mesh Trainer Swim Suit,TYR,36,22.82,3,1
22561,Howe Men's The Finest Pant,Howe,99,49.01,20,1
22622,Hause Of Howe  Men's The Finest Plaid Trouser,Howe,58.03,28.61,20,1
22462,JSLV The Worker Pants in Chocolate,JSLV,54,24.3,20,1
28743,Mr. Smith Jimi Sports Wallet,MR,14.95,5.83,1,2
1157,Roxy Juniors Yuma Pullover,Roxy,68.99,32.63,14,2
13013,Roxy Women's Sweet Terrain,Roxy,48,20.88,3,2
20842,Ariat 8398 Men's M2 Relaxed Granite,Ariat,82.9,44.1,16,1
20898,Men's Ariat Relaxed Fit Lower Rise M3 Athletic Jeans,Ariat,82.9,44.6,16,1
5801,Seamless Black Leggings,Yelete,8.99,5.29,24,2
13395,Danskin Women's Triathlon Swimsuit,Danskin,48,20.69,3,2
20593,Request Men's Kevin,Request,69,36.16,16,2
21208,Ariat 8402 Men's M4 Low Rise Boot Roadhouse,Ariat,82.9,43.36,16,1
21218,Ariat 10328 Men's M3 Horizon Gunsmoke,Ariat,69.95,38.12,16,1
9394,Berkshire Cotton Tight,Berkshire,12,5.23,5,2
21499,Ariat 9425 Men's M4 Low Rise Boot Blue Canyon,Ariat,69.99,39.05,16,1
21559,AriatÂ® M4 Skirmish Relaxed Low Rise Jean for M,Ariat,79.99,44.15,16,1
22285,Ariat 7308 Men's Heritage Front Zip,Ariat,112.25,54.89,20,1
18447,C-IN2 Men's Pop Color Street Jock,C-IN2,17,6.73,4,1
18559,C-IN2 Men's Core Basic Strap Jock,C-IN2,20,7.98,4,1
16309,Hurley Men's One and Only Short Sleeve Tee,NULL,20,11.52,13,3
18757,C-IN2 Men's Move Plank Short,C-IN2,60,23.16,4,1
9545,HANES Wear Around - 5660,Hanes,8.75,5.16,18,3
11658,Hanes Perfect Stretch Cami Nude,Hanes,10.2,5.38,21,3
25576,C-IN2 Men's Pop Color Lo No Show Profile Brief,C-IN2,20,9.12,23,1
14684,Prego Maternity Swimsuit,Prego,53,25.6,17,3
25717,C-IN2 Men's Pop Colors Army Trunk,C-IN2,24,11.9,23,1
25720,C-IN2 Men's Prime Lo No Show Profile Brief,C-IN2,26,13.47,23,1
25746,C-IN2 Men's Zen Street Jock Strap,C-IN2,20,9.78,23,1
13628,Carhartt Women's Jean Belt,Carhartt,25,10.9,1,3
25771,C-IN2 Men's Prime Long John,C-IN2,50,25.55,23,1
25820,C-IN2 Men's Prime Square Neck Tank Top,C-IN2,28,14.31,23,1
25829,C-IN2 Men's Zen Tank Top,C-IN2,32,14.34,23,1
25834,C-IN2 Men's Zen Army Trunk,C-IN2,30,12.84,23,1
21957,Hidden Cargo Pants 2.0,Scottevest,70,33.74,20,3
25848,C-IN2 Men's Zen Slider Brief,C-IN2,26,12.79,23,1
18226,New Balance Men's Tempo Long Sleeve Tee,New Balance,30,12.99,4,3
25856,C-IN2 Men's Prime Army Boxer Brief,C-IN2,30,13.59,23,1
36,Jones New York Women's Shell,Jones New York,69,41.33,13,3
19468,Mens Pure Cashmere Polo Sweater,Oxfords Cashmere,269,123.74,14,3
21646,D&G Jeans,D&G Dolce & Gabbana,239.95,138.45,16,3
25890,C-IN2 Men's Filthy Jock Brief,C-IN2,14.67,6.26,23,1
16144,DC Men's Bob Sweater,DC,53,28.57,13,4
22129,DKNY Mens Dress Pants,DKNY,32.99,16.36,20,4
25909,C-IN2 Men's Pop Color Square Neck Tank Top,C-IN2,24,11.11,23,1
4278,Levi's Misses Mid Rise Skinny Jean,Levi's,54,30.13,16,4
20552,Levi's Men's 501 Jean,Levi's,64,30.78,16,4
25911,C-IN2 Men's Filthy V-Neck Short Sleeve Tee,C-IN2,50,24.6,23,1
21862,Savane Men's Sharkskin Dress,Savane,36.99,17.5,20,4
18241,Volcom Men's EDS Slim Hoodie,Volcom,50,20.45,4,4
20817,Volcom Solver Stone Age Jeans,Volcom,68,34.82,16,4
23910,Volcom Men's Park It Jacket,Volcom,158,67.78,22,4
26387,Padded Boxer Brief,Leonisa,37,17.95,23,4
11868,Trendy Top,Trendy Top,17.2,9.63,21,4
25949,C-IN2 Men's Hand Me Down Ringer Tank Top,C-IN2,26,12.04,23,1
25991,C-IN2 Men's Grip Profile Brief,C-IN2,24.46,12.5,23,1
25304,neff Men's Burgock Sock,NEFF,20,11.06,6,5
26013,C-IN2 Men's Hand Me Down Army Trunk,C-IN2,26,11.05,23,1
26051,C-IN2 Men's Prime Punt Boxer Brief,C-IN2,26,12.69,23,1
22937,Lucky Brand Mens Vista Cargo Short,Lucky Brand,69.5,35.93,15,5
26094,C-IN2 Men's Pop Color Deep V-Neck Tee,C-IN2,32,13.89,23,1
26115,C-IN2 Men's Core Basic Profile Brief,C-IN2,16,8.3,23,1
26150,C-IN2 Men's Core Basic Tank Top,C-IN2,20,8.98,23,1
26155,C-IN2 Men's Core Basic Thong,C-IN2,15,7.53,23,1
26161,C-IN2 Men's Core Basic Runner Short,C-IN2,25,11.1,23,1
19361,Tamrac Pull Over,Alpha Industries,67.2,32.12,14,5
27786,Fox Men's V3 Boardshorts,Fox,39.9,25.54,3,6
25324,Wigwam F1073 Double Sole Crew,Wigwam,8.96,5.38,6,6
28420,Columbia Men's Baddabing Hat,Columbia,21.93,9.78,1,6
3326,Sugarlips Seamless Dress Cami,Sugarlips,19.99,8.36,7,6
21109,ALPINESTARS Men's Vagabond Denim Jean,Alpinestars,73.2,40.26,16,6
10256,Waffle Weave Spa Robe,Gilden Tree,64,37.38,18,6
26164,C-in2 Men's Core Profile Brief,C-IN2,16,7.47,23,1
25197,Foot Traffic Mens Tuxedo Socks,Foot Traffic,10.99,6.65,6,6
18899,Geoffrey Beene Men's Vest,Geoffrey Beene,25,11.78,14,6
26226,C-IN2 Men's Core Basic Long Underwear,C-IN2,28.54,12.79,23,1
15452,Dorfman Pacific Womens Cloche Hat,Dorfman Pacific,15.16,8.11,2,6
27792,Nike Tri Unisuit Male,Nike,135.99,75.34,3,7
21329,Vans Mens Skinny Dark Jeans,Vans,72.61,40.95,16,7
26249,C-IN2 Men's Zen Crew Neck Tee,C-IN2,38,18.39,23,1
26264,C-IN2 Men's Filthy Lo No Show Brief,C-IN2,24,11.04,23,1
22713,Dockers Men's Cargo Short,Dockers,27.99,14.44,15,7
24632,Dockers Men's 3-Pack Metro Crew Socks,Dockers,12.8,7.78,6,7
26265,C-IN2 Men's Prime Deep V-neck Tee,C-IN2,36,17.64,23,1
23512,Matix Men's Rockaway Short,Matix,41.99,20.11,15,1
21993,Wrangler Men's Ranger Pant,Wrangler,49.88,22.6,20,7
13928,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,MG,5.95,2.34,1,1
6648,Mod-O-Doc Women's Breezy Short,Mod-O-Doc,25,11.95,15,7
14115,Enzyme Regular Solid Army Caps-Black W35S45D,MG,10.99,4.88,1,1
19043,Devon & Jones D477 V-Neck Vest,Devon & Jones,25.19,12.34,14,7
23530,Matix Men's Welder Plaid Sp12 Short,Matix,33.75,18.5,15,1
7108,Black Fold-Over Maxi Jersey Skirt,FineBrandShop,19.9,7.22,10,7
23534,Matix Men's Welder 22 Inch Chino Short,Matix,49.95,23.03,15,1
23556,Matix Welder Modern Fit Short - Men's,Matix,44,20.55,15,1
7251,Kelly Nishimoto Yellow Plaid Skirt,Kelly Nishimoto,79,34.44,10,7
6412,Petralla Shorts - Womens,Mountain Hardwear,54.95,25.17,15,7
23559,Matix Men's Lakemaster Short,Matix,52.95,28.43,15,1
23562,Matix Men's Rockaway Short,Matix,42,22.13,15,1
23526,Trout Bum Packsaddle Shorts,Orvis,59,29.21,15,8
23570,Matix Saber Walkshort - Charcoal,Matix,47.95,24.07,15,1
26854,Intimo Mens Soft Knit Pant,Intimo,25,9.7,18,8
28165,Matix Men's Runway Boardshort,Matix,40.49,23.12,3,1
11274,Wacoal Women's Control Freak Pear Brief,Wacoal,38,18.81,21,8
20770,Nautica Jeans Men's Loose Dark Rinse Jean,Nautica,39.95,21.37,16,8
5909,MeMoi Women's Houndstooth Squared Sweater Tights,MeMoi,24.17,13.56,24,1
28736,Nautica Men's Slim Passcase,Nautica,24.3,10.06,1,8
13701,Mundi Big Fat Wallet,Mundi,21.99,9.85,1,1
17025,Woolrich Men's First Fork Polo,Woolrich,39,22.39,13,8
578,BB Dakota Juniors Lombard Blouse,BB Dakota,80,48.08,13,8
13922,MUNDI Big Fat Wallet,Mundi,19.99,8.98,1,1
22439,Caterpillar Men's Skill Pro Pant,Caterpillar,28.99,12.73,20,8
22760,Alki'i Men's Basic Twill Cargo Shorts,Alki'i,12.99,6.3,15,1
14157,Enzyme Regular Solid Army Caps-Olive W35S45D (One Size),MG,10.99,4.65,1,1
26140,Briefly Stated Men's Ladies Man,Briefly Stated,25,10.85,23,8
22122,American Apparel Slim Slack,American Apparel,74,34.26,20,8
14273,Washed Canvas Ivy Cap - Black W11S64C,MG,15.99,6.51,1,1
15674,Low Profile Dyed Cotton Twill Cap - Navy W39S55D,MG,6.25,3.11,2,1
15816,Low Profile Dyed Cotton Twill Cap - Putty W39S55D,MG,5.95,3.18,2,1
13132,Gottex Women's Nomadic Traveler Molded Cup Bandeau,Gottex,171,67.2,3,1
28646,4 Panel Large Bill Flap Hat W15S48B (One Size Fits Most/Khaki),MG,19.99,8.74,1,1
28670,Low Profile Dyed Cotton Twill Cap - Black W39S55D,MG,6.18,2.68,1,1
13838,Gucci 1013/S Sunglasses,Gucci,173.94,73.05,1,9
5205,Zobha Racer Capri,Zobha,71.95,37.85,8,9
28714,Low Profile Dyed Cotton Twill Cap - Khaki W39S55D,MG,6.25,2.28,1,1
28779,Fishing Hat (01)-Khaki W10S32F,MG,20.99,7.37,1,1
28904,Fashion Plaid Ivy Cap - Blue W10S69F,MG,15.99,6.8,1,1
